"TIME","GEO","INDIC_ED","Value","Flag and Footnotes"
"2003","Belgium","Pupils and students (ISCED levels 1-6) (1 000)","2,373.0",""
"2003","Belgium","Pupils at ISCED level 0 - as % of all pupils and students","14.5",""
"2003","Belgium","Pupils at ISCED level 0 (1 000)","402.0",""
"2003","Belgium","Pupils at ISCED level 1 - as % of all pupils and students","27.5",""
"2003","Belgium","Pupils at ISCED level 1 (1 000)","761.7",""
"2003","French Community in Belgium including small German-speaking Community","Pupils and students (ISCED levels 1-6) (1 000)","988.5",""
"2003","French Community in Belgium including small German-speaking Community","Pupils at ISCED level 0 - as % of all pupils and students","14.0",""
"2003","French Community in Belgium including small German-speaking Community","Pupils at ISCED level 0 (1 000)","161.0",""
"2003","French Community in Belgium including small German-speaking Community","Pupils at ISCED level 1 - as % of all pupils and students","28.2",""
"2003","French Community in Belgium including small German-speaking Community","Pupils at ISCED level 1 (1 000)","324.2",""
"2003","Flemish Community in Belgium","Pupils and students (ISCED levels 1-6) (1 000)","1,371.5",""
"2003","Flemish Community in Belgium","Pupils at ISCED level 0 - as % of all pupils and students","14.8",""
"2003","Flemish Community in Belgium","Pupils at ISCED level 0 (1 000)","238.1",""
"2003","Flemish Community in Belgium","Pupils at ISCED level 1 - as % of all pupils and students","26.8",""
"2003","Flemish Community in Belgium","Pupils at ISCED level 1 (1 000)","431.2",""
"2003","Bulgaria","Pupils and students (ISCED levels 1-6) (1 000)","1,273.9",""
"2003","Bulgaria","Pupils at ISCED level 0 - as % of all pupils and students","13.6",""
"2003","Bulgaria","Pupils at ISCED level 0 (1 000)","201.3",""
"2003","Bulgaria","Pupils at ISCED level 1 - as % of all pupils and students","22.6",""
"2003","Bulgaria","Pupils at ISCED level 1 (1 000)","333.0",""
"2003","Czechia","Pupils and students (ISCED levels 1-6) (1 000)","1,927.7",""
"2003","Czechia","Pupils at ISCED level 0 - as % of all pupils and students","13.0",""
"2003","Czechia","Pupils at ISCED level 0 (1 000)","287.0",""
"2003","Czechia","Pupils at ISCED level 1 - as % of all pupils and students","25.6",""
"2003","Czechia","Pupils at ISCED level 1 (1 000)","566.6",""
"2003","Denmark","Pupils and students (ISCED levels 1-6) (1 000)","1,069.4",""
"2003","Denmark","Pupils at ISCED level 0 - as % of all pupils and students","19.0",""
"2003","Denmark","Pupils at ISCED level 0 (1 000)","250.1",""
"2003","Denmark","Pupils at ISCED level 1 - as % of all pupils and students","31.8",""
"2003","Denmark","Pupils at ISCED level 1 (1 000)","419.8",""
"2003","Germany (until 1990 former territory of the FRG)","Pupils and students (ISCED levels 1-6) (1 000)","14,525.4","d"
"2003","Germany (until 1990 former territory of the FRG)","Pupils at ISCED level 0 - as % of all pupils and students","13.8","d"
"2003","Germany (until 1990 former territory of the FRG)","Pupils at ISCED level 0 (1 000)","2,316.7",""
"2003","Germany (until 1990 former territory of the FRG)","Pupils at ISCED level 1 - as % of all pupils and students","19.6","d"
"2003","Germany (until 1990 former territory of the FRG)","Pupils at ISCED level 1 (1 000)","3,303.7",""
"2003","Estonia","Pupils and students (ISCED levels 1-6) (1 000)","298.4",""
"2003","Estonia","Pupils at ISCED level 0 - as % of all pupils and students","14.9",""
"2003","Estonia","Pupils at ISCED level 0 (1 000)","52.4",""
"2003","Estonia","Pupils at ISCED level 1 - as % of all pupils and students","28.6",""
"2003","Estonia","Pupils at ISCED level 1 (1 000)","100.2",""
"2003","Ireland","Pupils and students (ISCED levels 1-6) (1 000)",":",""
"2003","Ireland","Pupils at ISCED level 0 - as % of all pupils and students",":","u"
"2003","Ireland","Pupils at ISCED level 0 (1 000)",":","u"
"2003","Ireland","Pupils at ISCED level 1 - as % of all pupils and students",":",""
"2003","Ireland","Pupils at ISCED level 1 (1 000)","447.6",""
"2003","Greece","Pupils and students (ISCED levels 1-6) (1 000)","1,960.7",""
"2003","Greece","Pupils at ISCED level 0 - as % of all pupils and students","6.8",""
"2003","Greece","Pupils at ISCED level 0 (1 000)","142.1",""
"2003","Greece","Pupils at ISCED level 1 - as % of all pupils and students","31.0",""
"2003","Greece","Pupils at ISCED level 1 (1 000)","652.1",""
"2003","Spain","Pupils and students (ISCED levels 1-6) (1 000)","7,381.6",""
"2003","Spain","Pupils at ISCED level 0 - as % of all pupils and students","14.8",""
"2003","Spain","Pupils at ISCED level 0 (1 000)","1,281.8",""
"2003","Spain","Pupils at ISCED level 1 - as % of all pupils and students","28.7",""
"2003","Spain","Pupils at ISCED level 1 (1 000)","2,488.3",""
"2003","France","Pupils and students (ISCED levels 1-6) (1 000)","11,884.1",""
"2003","France","Pupils at ISCED level 0 - as % of all pupils and students","17.2",""
"2003","France","Pupils at ISCED level 0 (1 000)","2,466.3",""
"2003","France","Pupils at ISCED level 1 - as % of all pupils and students","26.4",""
"2003","France","Pupils at ISCED level 1 (1 000)","3,791.6",""
"2003","Croatia","Pupils and students (ISCED levels 1-6) (1 000)","725.2",""
"2003","Croatia","Pupils at ISCED level 0 - as % of all pupils and students","10.8",""
"2003","Croatia","Pupils at ISCED level 0 (1 000)","87.5",""
"2003","Croatia","Pupils at ISCED level 1 - as % of all pupils and students","23.6",""
"2003","Croatia","Pupils at ISCED level 1 (1 000)","192.0",""
"2003","Italy","Pupils and students (ISCED levels 1-6) (1 000)","9,266.2",""
"2003","Italy","Pupils at ISCED level 0 - as % of all pupils and students","14.9",""
"2003","Italy","Pupils at ISCED level 0 (1 000)","1,623.2",""
"2003","Italy","Pupils at ISCED level 1 - as % of all pupils and students","25.5",""
"2003","Italy","Pupils at ISCED level 1 (1 000)","2,778.9",""
"2003","Cyprus","Pupils and students (ISCED levels 1-6) (1 000)","145.9",""
"2003","Cyprus","Pupils at ISCED level 0 - as % of all pupils and students","10.0",""
"2003","Cyprus","Pupils at ISCED level 0 (1 000)","16.2",""
"2003","Cyprus","Pupils at ISCED level 1 - as % of all pupils and students","38.8",""
"2003","Cyprus","Pupils at ISCED level 1 (1 000)","62.9",""
"2003","Latvia","Pupils and students (ISCED levels 1-6) (1 000)","505.8",""
"2003","Latvia","Pupils at ISCED level 0 - as % of all pupils and students","10.6",""
"2003","Latvia","Pupils at ISCED level 0 (1 000)","59.8",""
"2003","Latvia","Pupils at ISCED level 1 - as % of all pupils and students","18.3",""
"2003","Latvia","Pupils at ISCED level 1 (1 000)","103.4",""
"2003","Lithuania","Pupils and students (ISCED levels 1-6) (1 000)","806.8",""
"2003","Lithuania","Pupils at ISCED level 0 - as % of all pupils and students","10.1",""
"2003","Lithuania","Pupils at ISCED level 0 (1 000)","90.4",""
"2003","Lithuania","Pupils at ISCED level 1 - as % of all pupils and students","20.5",""
"2003","Lithuania","Pupils at ISCED level 1 (1 000)","183.5",""
"2003","Luxembourg","Pupils and students (ISCED levels 1-6) (1 000)","72.9",""
